;SPXT Index;S5INFT Index;S5TELS Index;S5CONS Index;S5COND Index;S5ENRS Index;S5FINL Index;S5HLTH Index;S5INDU Index;S5MATR Index;S5RLST Index;S5UTIL Index;GB03 Govt;S5SFTW Index;S5TECH Index;S5MEDA Index;S5SSEQX Index;S5DIVF Index;S5PHRM Index;S5RETL Index;S5CPGS Index;S5HCES Index;S5ENRSX Index;S5FDBT Index;S5BANKX Index;S5MATRX Index;S5UTILX Index;S5REAL Index;S5INSU Index;S5HOTR Index;S5AUCO Index;S5FDSR Index;S5HOUS Index;S5TRAN Index;S5COMS Index;S5CODU Index;S5TELSX Index
;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?
Dates;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;PX_Last;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS
#NAME?;369.55;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?
21.09.89;367.78;72.84;91.17;57.13;75.3951;82.85;80;66.08;74.79;78.82;#N/A N/A;95.86;8.102;50.76;77.1;80.75;27.93;68.9044;63.55;66.77;68.55;76.85;82.85;58.1;88.96;78.82;95.86;#N/A N/A;76.88;72.22;86.32;72.93;48.92;90.07;94.82;77.99;91.17
22.09.89;369.22;73.01;92.33;57.28;75.5477;83.22;80.72;66.31;74.86;78.91;#N/A N/A;96.07;8.023;51.51;77.18;80.87;27.9;69.5892;63.79;66.9;68.71;76.98;83.22;58.3;90;78.91;96.07;#N/A N/A;77.26;71.98;86.86;72.85;49;89.16;95.41;78.02;92.33
25.09.89;366.38;72.9;90.93;56.92;74.958;82.27;80;65.94;74.27;78.32;#N/A N/A;95.51;8.085;51.29;77.09;80.82;28.05;69.1142;63.49;66.2;68.23;76.15;82.27;57.95;89.06;78.32;95.51;#N/A N/A;76.65;71.41;85.75;72.06;48.77;88.05;94.63;77.35;90.93
26.09.89;366.5;73.18;91.01;57.09;75.3697;81.64;80.17;65.82;74.22;78.05;#N/A N/A;95.44;7.969;51.03;77.45;81.39;28.24;68.9865;63.38;66.51;68.25;76.01;81.64;58.19;88.97;78.05;95.44;#N/A N/A;77.28;71.58;86.6;72.28;48.69;87.45;94.75;77.32;91.01
27.09.89;367.33;71.33;91.28;57.46;75.552;81.69;80.63;66.88;74.59;78.15;#N/A N/A;95.28;8.02;51.29;75.28;81.53;28.06;69.3624;64.51;66.93;68.46;76.29;81.69;58.74;89.44;78.15;95.28;#N/A N/A;77.78;71.85;86.22;72.4;48.6;87.51;96.55;77.65;91.28
28.09.89;371.12;70.62;92.26;58.77;76.1577;82.13;81.91;68.3;75.38;78.55;#N/A N/A;95.73;8.018;52.28;74.32;82.15;28.29;69.6213;65.97;67.65;68.95;77.32;82.13;60.26;91.46;78.55;95.73;#N/A N/A;78.84;72.94;86.33;73.47;49.35;88.69;98.86;78.31;92.26
29.09.89;371.74;70.58;92.56;58.93;75.8588;82.42;82.76;68.33;75.36;78.8;#N/A N/A;95.71;8.171;52.2;74.29;82.19;28.3;69.9497;65.97;67.52;68.87;77.54;82.42;60.52;92.05;78.8;95.71;#N/A N/A;80.34;72.39;85.26;73.61;49.22;89.27;98.48;78.07;92.56
02.10.89;373.59;70.32;92.65;59.15;76.4333;83.04;83.39;68.39;75.87;79.52;#N/A N/A;95.88;8.137;52.29;73.97;82.98;28.2;70.7756;65.89;67.73;69.39;78.67;83.04;60.69;92.3;79.52;95.88;#N/A N/A;81.27;72.31;85.97;73.98;49.55;89.8;98.93;79.37;92.65
03.10.89;377.83;69.35;93.79;60.14;77.3606;83.92;84.76;69.55;76.71;80.44;#N/A N/A;96.29;8;53.17;72.73;83.75;27.97;73.1001;67;68.73;70.25;80;83.92;61.68;92.94;80.44;96.29;#N/A N/A;82.9;73.19;87.76;74.91;50.54;90.52;99.65;79.4;93.79
04.10.89;380.26;70.51;94.68;60.59;77.71;84.44;85.18;70.16;77.05;80.72;#N/A N/A;96.23;8.051;53.33;74.04;84.43;28.49;73.4826;67.58;68.97;70.53;80.85;84.44;62.03;93.69;80.72;96.23;#N/A N/A;82.97;72.69;88.1;75.79;51.15;91.02;100.28;79.9;94.68
05.10.89;380.3;70.8;94.67;60.7;77.6376;84.48;84.97;70.24;77.21;80.25;#N/A N/A;96.25;8.028;53.48;74.37;83.95;28.84;73.4085;67.62;69.07;70.42;81.22;84.48;62.19;93.27;80.25;96.25;#N/A N/A;82.93;73.43;88.22;75.76;51.16;92.96;100.21;79.48;94.67
06.10.89;382.25;71.17;95.57;61.17;77.8869;85.71;85.16;70.67;77.4;80.01;#N/A N/A;96.26;7.821;53.19;74.83;84.49;29.06;73.6146;68.15;69.39;70.69;80.82;85.71;62.65;93.61;80.01;96.26;#N/A N/A;82.95;73.55;88.22;75.65;51.85;93.01;100.03;79.44;95.57
09.10.89;383.34;72.46;95.06;61.28;78.2182;86.1;85.35;70.92;77.49;79.96;#N/A N/A;96.6;7.811;53.86;76.22;85.47;29.72;74.1237;68.38;69.59;70.69;81.16;86.1;62.59;93.67;79.96;96.6;#N/A N/A;83.08;73.38;88.01;75.9;52.47;93.65;100.09;79.88;95.06
10.10.89;382.63;72.22;94.24;61.23;78.0644;85.89;85.1;70.97;77.48;79.94;#N/A N/A;96.7;7.799;53.88;75.95;85.13;29.55;73.7442;68.46;69.58;70.66;80.94;85.89;62.56;93.34;79.94;96.7;#N/A N/A;83;73.93;87.47;76.01;52.3;93;100.89;79.78;94.24
11.10.89;380.36;71.66;93.37;61.03;77.5295;85.58;84.46;70.62;77;79.34;#N/A N/A;96.5;7.956;53.72;75.33;84.71;28.9;72.8952;68.19;69.12;70.4;80.03;85.58;62.37;92.69;79.34;96.5;#N/A N/A;82.51;72.94;86.58;75.12;52.28;91.63;99.99;79.51;93.37
12.10.89;378.65;71.49;93.46;60.51;76.9581;85.38;84.02;69.94;76.74;79.07;#N/A N/A;96.49;7.955;53.66;75.14;83.73;28.87;72.3639;67.44;68.9;70.18;80.03;85.38;61.84;91.93;79.07;96.49;#N/A N/A;82.48;72.41;85.69;74.8;51.76;91.36;99.5;79.15;93.46
