;SPXT Index;S5INFT Index;S5TELS Index;S5CONS Index;S5COND Index;S5ENRS Index;S5FINL Index;S5HLTH Index;S5INDU Index;S5MATR Index;S5RLST Index;S5UTIL Index;GB03 Govt;S5SFTW Index;S5TECH Index;S5MEDA Index;S5SSEQX Index;S5DIVF Index;S5PHRM Index;S5RETL Index;S5CPGS Index;S5HCES Index;S5ENRSX Index;S5FDBT Index;S5BANKX Index;S5MATRX Index;S5UTILX Index;S5REAL Index;S5INSU Index;S5HOTR Index;S5AUCO Index;S5FDSR Index;S5HOUS Index;S5TRAN Index;S5COMS Index;S5CODU Index;S5TELSX Index
;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?
Dates;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;PX_Last;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS
#NAME?;369.55;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?
14.07.99;1912.54;678.0678;431.2888;283.6109;329.7574;316.0999;448.1721;444.1532;328.7216;203.3407;#N/A N/A;277.5399;4.693;752.8479;643.3528;351.3712;572.0758;593.1963;525.0052;382.7335;377.5439;218.4645;316.0999;261.0984;430.4311;203.3407;277.5399;#N/A N/A;353.3476;274.12;299.0642;331.9674;325.3907;249.7484;199.0131;201.5822;431.2888
15.07.99;1928.21;682.9728;438.0262;286.3648;332.1499;318.8881;452.7384;449.9632;329.9183;201.1831;#N/A N/A;277.8998;4.703;750.8803;651.029;352.0661;568.6288;602.0756;531.3231;388.0421;379.2753;222.4297;318.8881;264.3294;434.9041;201.1831;277.8998;#N/A N/A;354.145;273.4249;301.3807;334.5092;327.0774;247.8316;200.1566;201.8898;438.0262
16.07.99;1940.76;689.9865;444.5996;288.4301;333.322;317.6567;457.0087;449.52;332.7548;200.9165;#N/A N/A;277.8141;4.659;778.0455;649.7572;352.1221;569.1197;605.9185;529.8254;388.9649;382.1666;224.1227;317.6567;266.1202;438.41;200.9165;277.8141;#N/A N/A;360.1678;276.3032;304.343;338.2237;329.0086;249.6064;203.1977;203.1325;444.5996
19.07.99;1925.55;680.8088;442.0577;284.8808;332.3527;315.9017;454.0503;442.4792;333.7512;198.7969;#N/A N/A;278.4692;4.607;768.3002;640.8766;352.3015;567.4798;601.1401;521.6574;387.6776;383.3091;220.3358;315.9017;262.0251;436.516;198.7969;278.4692;#N/A N/A;357.1012;272.4799;302.7986;335.9576;326.1607;254.7888;201.4703;203.3909;442.0577
20.07.99;1883.76;647.4276;437.1242;284.1329;325.0106;309.1506;446.873;434.392;329.5688;198.8096;#N/A N/A;278.212;4.613;731.2764;609.1924;347.5828;541.7318;589.2106;510.5318;374.2124;378.8755;219.4558;309.1506;260.9606;429.0207;198.8096;278.212;#N/A N/A;354.6724;269.6884;298.2359;328.9173;329.7175;249.6656;198.8184;201.5699;437.1242
21.07.99;1886.86;654.1877;442.1533;284.0702;324.5863;310.5093;442.1409;433.7766;329.495;199.6092;#N/A N/A;278.8035;4.56;740.7848;614.7887;350.6314;546.6725;585.818;511.3121;370.6809;379.0246;216.1812;310.5093;262.0001;423.6802;199.6092;278.8035;#N/A N/A;349.5941;269.0801;299.9206;327.4539;327.4509;248.506;198.6725;200.6963;442.1533
22.07.99;1861.83;628.5857;435.5799;283.7872;319.4076;307.4805;443.8389;431.1953;326.432;201.0181;#N/A N/A;278.2334;4.601;709.0251;591.8387;343.4357;530.0747;588.3056;508.0651;364.7913;376.131;215.2894;307.4805;261.7746;425.682;201.0181;278.2334;#N/A N/A;350.0725;265.2785;298.1797;320.3391;330.7467;245.3114;195.4245;197.6325;435.5799
23.07.99;1856.31;631.9482;434.719;281.4363;317.6901;309.2072;438.4105;429.115;325.8785;199.3046;#N/A N/A;278.5936;4.662;702.6999;599.076;341.4406;535.7779;578.8668;504.667;363.6179;375.4728;216.1025;309.2072;258.9694;420.8321;199.3046;278.5936;#N/A N/A;347.3125;261.1293;296.6916;324.1827;326.1666;244.4122;195.4124;196.6974;434.719
26.07.99;1843.75;615.4351;434.5276;283.1067;317.607;303.5176;440.16;429.3981;323.2338;196.9185;#N/A N/A;278.971;4.703;676.9254;586.4135;340.7905;525.4682;576.6476;504.151;364.0964;371.9831;217.9404;303.5176;261.8498;423.8817;196.9185;278.971;#N/A N/A;350.7226;263.7795;295.8632;326.7529;324.0969;243.442;194.5852;194.8394;434.5276
27.07.99;1864.38;634.2232;439.3518;283.4903;320.1245;302.4419;443.7746;429.6566;326.8503;199.9519;#N/A N/A;278.2334;4.706;686.5677;608.7558;346.2826;561.9751;585.1673;504.5663;365.4406;377.2363;217.8401;302.4419;262.1629;427.1194;199.9519;278.2334;#N/A N/A;350.4037;265.2785;296.6916;327.5473;324.4888;243.5484;194.8528;196.6481;439.3518
28.07.99;1868.05;644.7022;438.1902;281.45;320.8283;306.4473;442.212;429.043;324.3205;199.8677;#N/A N/A;276.0894;4.695;697.4873;618.9883;346.2041;584.0906;587.6227;503.5091;367.6506;374.2681;218.1919;306.4473;260.4742;423.5929;199.8677;276.0894;#N/A N/A;348.2693;265.2133;295.779;328.2016;319.9298;242.4954;193.0593;196.845;438.1902
29.07.99;1835.02;628.1773;431.6441;279.951;315.121;304.8197;434.2606;419.6876;318.0141;197.5686;#N/A N/A;272.4778;4.716;676.7606;604.254;341.268;572.4741;573.644;491.8675;360.1775;368.1332;214.7494;304.8197;258.8585;416.5093;197.5686;272.4778;#N/A N/A;344.345;260.4884;290.344;322.0097;321.3108;237.0527;186.2771;193.4938;431.6441
30.07.99;1818.18;624.4817;426.738;279.8025;309.647;309.6176;424.105;417.5211;313.6489;196.5403;#N/A N/A;273.1991;4.745;667.9013;602.6781;337.9837;571.2519;557.1779;489.4259;353.5019;362.4081;213.4348;309.6176;257.4556;406.0381;196.5403;273.1991;#N/A N/A;340.4205;257.6861;276.1826;321.2504;324.8651;236.189;184.4356;192.6324;426.738
02.08.99;1817.27;623.6827;431.4664;278.2182;308.4595;304.5366;423.294;419.8723;313.489;199.1593;#N/A N/A;274.4356;4.786;661.3907;604.1752;335.1367;581.5207;551.6358;491.5654;350.9273;362.0728;215.8635;304.5366;255.9401;406.7639;199.1593;274.4356;#N/A N/A;341.4634;259.0546;280.1421;318.3764;323.7988;238.8157;183.304;192.1771;431.4664
03.08.99;1809.3;619.0104;428.5692;280.4214;306.1639;308.256;417.5934;417.9027;312.591;199.2862;#N/A N/A;275.3286;4.821;653.8499;600.6858;333.4329;591.309;539.2581;490.5334;346.1769;362.1846;212.3653;308.256;256.4411;405.4943;199.2862;275.3286;#N/A N/A;334.5068;255.9808;282.9462;317.582;332.2924;233.5268;181.7222;191.488;428.5692
04.08.99;1786.51;613.0773;419.0713;276.9146;300.2775;311.5266;410.606;407.7758;309.579;201.7231;#N/A N/A;274.3751;4.758;650.4298;593.7889;328.1086;588.8819;529.5503;479.1822;336.414;359.4603;206.1376;311.5266;254.6258;398.6745;201.7231;274.3751;#N/A N/A;329.6442;253.4282;279.9167;309.7079;326.5565;230.509;177.999;190.0852;419.0713
05.08.99;1798.11;618.5155;425.2074;278.5646;297.0834;320.1153;412.6413;408.7612;312.5361;203.5517;#N/A N/A;274.6156;4.705;653.0979;600.3066;325.9229;581.8495;537.5222;479.6104;331.4814;362.9879;208.0426;320.1153;255.4296;397.5312;203.5517;274.6156;#N/A N/A;331.4459;250.1753;276.9153;309.5677;331.5325;232.1194;179.8001;189.5397;425.2074
06.08.99;1780.06;618.2072;424.8384;275.2469;295.3584;318.8684;401.1665;400.361;308.9436;201.695;#N/A N/A;274.9433;4.797;649.1009;601.4792;326.5506;588.2341;521.6005;469.6482;328.9182;359.026;203.9985;318.8684;251.4454;387.5513;201.695;274.9433;#N/A N/A;321.3076;245.3524;272.9839;307.7919;329.0567;227.5132;178.1449;189.5766;424.8384
09.08.99;1776.68;615.066;420.1509;275.3707;291.9806;324.2498;403.3172;402.4795;306.7669;200.3888;#N/A N/A;274.7695;4.89;642.2298;599.858;323.8866;601.3584;523.1179;472.7716;320.4768;356.2068;203.8203;324.2498;255.1415;391.667;200.3888;274.7695;#N/A N/A;320.878;246.33;276.5208;301.5417;323.0389;228.5989;176.2707;189.1723;420.1509
10.08.99;1754.33;603.3672;407.9881;274.7888;292.2315;323.0855;396.805;396.3088;303.4327;198.4454;#N/A N/A;273.0672;4.923;634.2873;586.7307;317.4636;588.0773;515.1126;466.4492;329.586;353.5117;198.8849;323.0855;254.2394;384.5384;198.4454;273.0672;#N/A N/A;316.6067;243.8968;270.6189;295.5601;326.2991;221.2336;173.3986;186.5687;407.9881
11.08.99;1782.85;627.4086;408.6714;274.4592;296.0738;327.1393;404.6873;396.0985;306.9918;204.7292;#N/A N/A;273.3169;4.87;650.7389;613.6495;320.535;620.3344;527.4705;464.8662;335.4643;357.7988;201.3916;327.1393;252.7108;393.7518;204.7292;273.3169;#N/A N/A;318.2595;243.8859;275.9775;299.2525;326.9364;220.452;176.8427;187.9474;408.6714
12.08.99;1777.75;615.4212;408.2887;272.8175;297.7654;327.4096;403.7003;404.8971;306.3579;204.0112;#N/A N/A;269.6588;4.755;640.9833;600.8488;321.6783;613.0825;532.3602;476.5105;340.2034;356.3102;203.2967;327.4096;252.2848;388.8603;204.0112;269.6588;#N/A N/A;318.2104;243.4949;273.567;296.8269;322.4349;222.8203;177.2322;187.652;408.2887
13.08.99;1818.25;638.0419;418.5656;274.7983;305.0855;326.0155;418.8979;411.6372;311.3131;204.965;#N/A N/A;271.2941;4.712;667.242;621.8569;327.653;636.7502;553.7486;484.6053;349.3057;363.0435;206.3381;326.0155;252.8737;404.8527;204.965;271.2941;#N/A N/A;326.6189;253.3255;282.4278;302.7046;326.0634;225.0939;177.8407;189.364;418.5656
16.08.99;1822.53;641.6133;416.1604;275.0831;307.5244;323.3133;419.0524;413.6218;314.1069;203.3406;#N/A N/A;270.0785;4.732;664.4051;627.959;327.9332;630.5851;553.6577;487.3915;355.7195;366.9697;206.4829;323.3133;253.1117;404.3819;203.3406;270.0785;#N/A N/A;328.0551;254.7919;279.559;302.6812;326.6763;226.9411;177.4756;190.8292;416.1604
17.08.99;1840.88;641.7798;422.4741;276.3459;310.5897;325.3619;431.9368;416.7899;316.7899;205.2346;#N/A N/A;271.1634;4.821;665.9608;627.5649;333.9591;631.9122;574.5028;490.6693;357.0866;371.4551;208.9339;325.3619;254.3897;415.5322;205.2346;271.1634;#N/A N/A;336.691;257.1817;281.6081;300.8817;329.6306;223.1637;177.865;193.7472;422.4741
18.08.99;1825.56;635.9635;414.5751;271.6754;309.9958;323.6919;429.2965;414.3738;314.89;202.2666;#N/A N/A;270.2679;4.768;665.5487;619.639;333.9142;621.5987;566.0396;487.9462;354.5638;369.3011;207.4745;323.6919;249.8918;414.1468;202.2666;270.2679;#N/A N/A;337.3785;258.9849;285.0995;293.8961;325.6589;222.8321;176.0783;191.8129;414.5751
19.08.99;1812.98;629.5272;405.5882;270.5333;308.7038;324.8733;423.1144;415.5449;312.0419;203.3737;#N/A N/A;274.3321;4.747;657.4714;613.8994;334.1833;615.4963;555.5645;489.749;351.7952;366.2682;207.2628;324.8733;248.6161;408.8608;203.3737;274.3321;#N/A N/A;333.5852;255.183;284.8734;293.4636;324.4208;222.0269;172.8774;192.3426;405.5882
20.08.99;1830.82;635.7542;396.4134;274.2849;310.7747;326.2968;428.6139;428.4513;315.3342;205.6006;#N/A N/A;278.6374;4.828;658.0896;622.3207;333.3986;632.4138;563.9162;506.9073;355.9424;370.7505;209.8586;326.2968;251.1471;414.1333;205.6006;278.6374;#N/A N/A;336.9611;257.6922;288.5905;295.2519;332.6585;221.3875;174.375;192.823;396.4134
23.08.99;1863.18;651.9599;399.7497;275.843;314.268;328.4319;438.7371;440.7413;322.0907;206.3259;#N/A N/A;279.3262;4.9;678.7463;636.6414;334.9007;653.7931;579.3707;523.5613;362.1519;379.7001;211.7414;328.4319;251.7275;423.2123;206.3259;279.3262;#N/A N/A;344.0688;261.581;290.9225;299.6115;335.3676;225.5418;175.3048;193.6435;399.7497
24.08.99;1867.68;661.9498;400.4607;276.5982;311.7387;324.3841;440.4243;441.4317;321.8095;204.5189;#N/A N/A;280.1184;4.968;705.8216;639.7375;329.0505;663.1243;580.0516;525.3768;361.2176;379.3053;210.0925;324.3841;252.0658;424.49;204.5189;280.1184;#N/A N/A;347.4202;258.5612;289.2123;295.0415;340.2097;227.6747;174.1115;193.3602;400.4607
25.08.99;1892.87;677.5451;410.784;283.7178;316.6916;323.7009;436.4669;452.7512;325.3293;199.9361;#N/A N/A;284.0852;4.915;726.0971;653.3489;336.047;667.2936;583.0592;539.4211;365.7117;383.9771;214.3577;323.7009;259.2959;413.3065;199.9361;284.0852;#N/A N/A;348.8196;263.1126;293.8898;300.4531;348.1532;231.4072;173.6634;195.7233;410.784
26.08.99;1865.79;667.0779;409.4303;282.3682;311.2503;315.6012;428.3913;444.0113;322.3702;198.0299;#N/A N/A;280.8955;4.925;717.7726;642.1018;333.5329;649.6343;573.8573;527.3309;354.9544;381.1788;213.5555;315.6012;258.2935;402.9359;198.0299;280.8955;#N/A N/A;345.4192;258.2136;293.706;299.5648;345.5912;223.4429;173.1639;193.8134;409.4303
27.08.99;1847.12;666.423;400.9529;279.2426;308.4914;314.4684;422.309;435.5919;318.0297;196.8717;#N/A N/A;280.3438;4.985;709.1905;644.6124;329.1296;660.8777;559.8532;516.4383;352.2195;375.2462;211.227;314.4684;256.6748;400.6319;196.8717;280.3438;#N/A N/A;340.3272;258.9559;291.4298;296.3394;338.3587;222.4356;172.2136;191.3613;400.9529
30.08.99;1814.11;656.1583;392.3115;276.6497;302.7711;309.7139;405.768;435.9976;312.2653;192.6145;#N/A N/A;276.562;4.984;695.9208;635.6318;323.3273;658.2967;535.8981;518.2033;345.0528;368.8225;208.9302;309.7139;253.9313;386.2107;192.6145;276.562;#N/A N/A;326.8311;253.246;286.5805;290.1795;338.0645;217.6665;168.3623;189.1267;392.3115
31.08.99;1809.19;662.8404;385.5296;274.8292;299.11;315.0768;404.6339;431.6953;310.7163;188.7322;#N/A N/A;275.9929;4.967;699.2588;643.5915;321.4205;663.4796;531.5109;511.4585;336.6677;366.7833;209.7771;315.0768;252.2014;387.746;188.7322;275.9929;#N/A N/A;324.3256;251.441;292.9024;283.7392;338.518;212.6549;170.2389;184.4982;385.5296
01.09.99;1824.2;664.7978;393.0801;275.6554;302.1607;314.8807;408.4908;438.3966;313.4656;192.0065;#N/A N/A;276.87;4.935;697.971;646.8336;326.2884;671.0345;541.5186;520.0046;340.4307;370.3366;211.9611;314.8807;253.4384;389.3423;192.0065;276.87;#N/A N/A;325.9986;247.7771;294.4157;284.9665;337.9909;215.5704;170.2389;188.2998;393.0801
02.09.99;1807.83;664.2206;386.5853;274.1501;298.2259;310.8516;401.7329;433.7836;311.4044;191.2932;#N/A N/A;274.3848;4.913;695.282;647.1038;323.0244;686.4054;533.3104;514.5672;335.4608;368.5392;209.6768;310.8516;251.4291;381.0079;191.2932;274.3848;#N/A N/A;323.1608;246.0806;288.8717;283.5288;337.8193;214.1838;167.1926;185.6181;386.5853
03.09.99;1860.15;691.173;397.8198;277.197;305.9748;316.2877;418.9887;444.7487;318.3659;192.8975;#N/A N/A;279.3477;4.911;728.0443;671.5485;333.7811;717.9415;558.5018;527.9777;344.5572;376.3987;214.2342;316.2877;254.6513;397.7846;192.8975;279.3477;#N/A N/A;333.9836;253.0186;296.1553;283.9028;341.9504;219.9525;171.567;184.2232;397.8198
06.09.99;1860.15;691.173;397.8198;277.197;305.9748;316.2877;418.9887;444.7487;318.3659;192.8975;#N/A N/A;279.3477;4.91;728.0443;671.5485;333.7811;717.9415;558.5018;527.9777;344.5572;376.3987;214.2342;316.2877;254.6513;397.7846;192.8975;279.3477;#N/A N/A;333.9836;253.0186;296.1553;283.9028;341.9504;219.9525;171.567;184.2232;397.8198
07.09.99;1851.01;691.7503;396.4235;272.8372;305.1948;319.9187;410.0513;440.5749;320.8544;191.632;#N/A N/A;275.8472;4.806;719.4519;675.7709;339.5576;714.232;548.0219;521.4806;339.6214;380.2912;215.0005;319.9187;247.2666;385.31;191.632;275.8472;#N/A N/A;332.362;252.9207;291.6308;282.7223;343.875;215.5888;173.2851;184.0051;396.4235
08.09.99;1842.56;682.4308;391.9904;273.7763;305.2054;322.0762;406.6676;438.5243;322.9244;191.2373;#N/A N/A;274.1093;4.807;712.7965;665.4641;338.5741;698.9342;540.0847;518.9449;341.696;382.9726;214.1989;322.0762;248.9621;384.0035;191.2373;274.1093;#N/A N/A;329.8115;252.7032;289.3946;281.5651;343.9713;216.2658;174.0832;182.5769;391.9904
09.09.99;1847.37;692.7212;393.8932;272.6364;305.8843;329.3883;401.4443;435.6379;321.5198;192.2177;#N/A N/A;276.1478;4.807;725.1287;674.866;336.925;710.9718;535.2496;516.0306;344.8991;380.448;211.8915;329.3883;249.539;378.8112;192.2177;276.1478;#N/A N/A;323.9025;251.9746;286.3533;276.8429;340.157;216.7404;175.1317;185.6161;393.8932
10.09.99;1852.85;702.2567;394.6599;270.1459;307.5096;326.6965;403.7013;434.6264;319.5854;193.16;#N/A N/A;278.1517;4.732;737.667;683.1307;337.1269;711.327;537.8465;515.0088;349.1966;377.9606;211.0889;326.6965;246.0021;380.6184;193.16;278.1517;#N/A N/A;326.728;253.3883;288.9703;273.7688;340.7457;215.8979;174.4733;182.0703;394.6599
13.09.99;1842.96;689.8319;398.1918;270.6072;308.578;320.8716;401.6057;432.9653;318.786;195.9494;#N/A N/A;275.8893;4.752;724.8299;670.963;337.2391;690.094;536.7826;512.8641;350.8266;376.7748;210.587;320.8716;246.7837;377.9887;195.9494;275.8893;#N/A N/A;324.4061;255.1174;291.5307;280.7398;336.7352;215.8861;174.4855;181.712;398.1918
14.09.99;1832.23;697.414;399.903;267.2782;304.6741;319.305;394.3662;426.8224;315.5331;192.7276;#N/A N/A;274.2129;4.79;732.2478;678.5524;332.3929;709.9059;531.9628;505.812;345.6857;372.5089;207.1759;319.305;242.8467;368.5244;192.7276;274.2129;#N/A N/A;318.2146;255.3566;286.1694;283.218;331.6861;215.3284;173.1201;181.3908;399.903
15.09.99;1807.17;680.3072;395.1527;268.1257;298.3344;313.5227;391.9648;421.5676;313.3152;189.6612;#N/A N/A;274.0228;4.727;711.7662;662.912;324.4953;681.1494;526.064;501.1316;337.6863;370.407;201.8585;313.5227;243.5889;367.7789;189.6612;274.0228;#N/A N/A;316.3627;252.3879;280.6101;288.8758;330.2142;215.2691;169.5601;179.7476;395.1527
16.09.99;1807.98;682.1389;400.3411;268.1743;299.0756;313.2664;390.5919;422.4804;311.0604;187.4326;#N/A N/A;272.7584;4.684;714.3316;664.4434;329.1845;683.8976;522.3415;504.3107;336.0447;368.4916;198.5143;313.2664;243.0159;367.0821;187.4326;272.7584;#N/A N/A;316.1279;252.4314;282.3555;288.3965;332.2503;207.1533;169.5358;178.3976;400.3411
17.09.99;1831.23;694.0614;405.6253;267.753;305.7379;317.1402;396.4387;423.8866;315.4506;188.6679;#N/A N/A;274.7988;4.651;727.3644;675.8387;341.861;699.8641;531.291;506.1526;343.3547;373.8148;198.8933;317.1402;242.6861;368.9189;188.6679;274.7988;#N/A N/A;326.0687;257.7273;281.9027;290.3253;330.2387;208.2687;172.5151;177.9404;405.6253
20.09.99;1831.42;700.7204;404.667;268.4979;303.5168;311.8564;395.1867;425.0831;316.4652;187.2925;#N/A N/A;272.2036;4.672;731.949;683.2737;338.2599;695.1515;533.6612;509.2813;340.8914;375.2637;196.374;311.8564;243.6551;366.2717;187.2925;272.2036;#N/A N/A;323.4637;256.3245;280.4736;289.1798;331.4653;208.4585;172.5517;178.0516;404.667
21.09.99;1793.09;680.1267;403.1612;264.0784;297.6216;303.4394;386.3002;415.7084;311.672;184.5035;#N/A N/A;266.9466;4.79;714.96;661.3931;329.2181;678.0773;521.8341;498.23;336.2956;369.4181;191.7255;303.4394;240.1317;357.7903;184.5035;266.9466;#N/A N/A;316.4351;254.7368;272.281;280.7281;326.7429;205.16;170.5399;174.1339;403.1612
22.09.99;1797.15;685.8441;407.1312;260.7016;299.682;303.1546;385.8889;416.8485;311.2177;183.673;#N/A N/A;265.8744;4.8;729.7546;663.4427;327.8038;686.5622;523.6891;500.3368;341.6669;369.1967;190.9344;303.1546;236.7593;358.3711;183.673;265.8744;#N/A N/A;312.0058;258.008;274.361;282.2244;320.5731;203.5938;170.0034;173.4762;407.1312
23.09.99;1755.88;656.8241;396.6996;255.5318;295.3939;299.7792;383.4417;407.6334;305.1183;179.1643;#N/A N/A;261.2227;4.82;697.4765;635.9316;321.3193;646.5622;519.1872;488.1627;337.2877;361.7342;188.7152;299.7792;233.4482;357.5067;179.1643;261.2227;#N/A N/A;308.7933;257.7253;270.7953;273.3285;312.2689;202.0751;166.0164;170.448;396.6996
24.09.99;1751.7;659.0786;396.4669;256.5373;293.807;296.1902;385.5715;400.5402;303.9601;176.7571;#N/A N/A;260.0814;4.776;705.1959;635.9991;318.0322;637.2727;524.6534;479.748;337.4132;359.8685;185.3026;296.1902;234.2536;364.0169;176.7571;260.0814;#N/A N/A;300.0423;252.9725;269.6633;274.93;313.5323;199.8325;167.6868;169.8423;396.4669
27.09.99;1759.86;666.8498;401.7237;257.8409;295.6088;299.9216;379.0659;399.3066;306.3259;181.304;#N/A N/A;259.1995;4.796;713.3556;643.5441;319.1653;655.7471;516.0143;478.2215;339.5001;363.5998;184.7896;299.9216;235.0464;356.6018;181.304;259.1995;#N/A N/A;297.0064;254.0384;273.2007;274.5676;317.1631;197.9579;167.9916;171.239;401.7237
28.09.99;1758.77;670.9346;408.2887;255.702;295.8196;294.969;380.2331;396.0622;303.6542;180.3483;#N/A N/A;256.7532;4.863;726.1876;644.1084;320.4779;652.0272;519.3741;474.9162;340.4744;360.2436;182.2693;294.969;233.2178;358.665;180.3483;256.7532;#N/A N/A;294.4345;252.3743;271.1915;272.6388;314.0598;198.385;165.9753;170.4232;408.2887
29.09.99;1739.92;655.5029;401.0823;249.3547;295.0243;298.1023;377.1152;391.1703;304.3596;180.6976;#N/A N/A;258.8453;4.82;714.2055;627.419;321.8802;633.7513;517.9152;466.6836;336.9451;361.0272;184.2606;298.1023;229.4798;354.9774;180.6976;258.8453;#N/A N/A;290.476;252.1895;271.4462;270.6542;298.0649;200.0343;165.8518;171.1017;401.0823
30.09.99;1759.59;659.977;404.2745;246.7845;300.663;302.4034;383.609;396.8224;309.7016;183.196;#N/A N/A;262.7384;4.851;718.6666;631.856;326.7156;620.4389;524.9783;475.7585;346.7872;367.38;182.7104;302.4034;227.8184;364.1223;183.196;262.7384;#N/A N/A;292.0987;255.3108;274.3044;265.6848;294.2992;201.114;170.01;171.1759;404.2745
01.10.99;1759.77;657.5235;402.1098;247.2439;302.2809;300.6943;378.7677;410.0386;306.753;182.9155;#N/A N/A;265.1595;4.859;716.0394;629.4911;325.6498;632.0376;514.1797;496.7682;352.0788;364.079;179.5097;300.6943;228.5988;361.934;182.9155;265.1595;#N/A N/A;288.5091;257.9645;273.5828;257.4296;298.7886;198.5274;168.1443;169.5566;402.1098
04.10.99;1789.71;672.6665;410.2616;249.1064;308.1903;296.4644;390.9014;412.6058;311.8729;185.6816;#N/A N/A;269.0192;4.828;731.4832;644.4125;327.7926;653.7513;534.2472;501.4136;363.9167;369.7966;177.9037;296.4644;228.9763;374.3931;185.6816;269.0192;#N/A N/A;292.5905;263.9354;279.3275;255.5237;306.7492;204.8278;170.4368;166.9855;410.2616
05.10.99;1785.32;677.3626;402.0668;248.647;308.1599;289.5143;392.7631;410.631;310.9723;183.8588;#N/A N/A;265.6268;4.839;731.8129;650.7977;326.0649;660.094;542.2403;498.5102;366.0493;369.2236;177.9372;289.5143;228.4855;372.4532;183.8588;265.6268;#N/A N/A;294.8893;258.5301;281.2377;252.5654;307.7428;204.8515;168.1443;166.9608;402.0668
06.10.99;1818.61;684.0608;414.5903;257.205;312.8387;295.7169;402.5736;420.6943;315.1802;185.1742;#N/A N/A;265.0211;4.807;748.1563;653.6169;335.2082;662.0899;558.5618;511.5123;370.0639;374.176;180.9138;295.7169;236.5247;380.5226;185.1742;265.0211;#N/A N/A;301.5802;258.4549;284.5204;266.2226;315.1269;206.5838;171.1319;168.7902;414.5903
07.10.99;1808;675.8786;417.2656;256.7952;311.1403;291.0879;398.2257;421.3855;314.403;187.1755;#N/A N/A;260.2812;4.807;742.8916;644.3262;333.0991;641.8286;552.2023;512.3833;369.4457;372.3697;181.148;291.0879;236.5877;374.3441;187.1755;260.2812;#N/A N/A;302.2757;256.8887;281.0538;263.3813;314.7835;209.5264;171.5099;166.454;417.2656
08.10.99;1833.22;676.678;426.3476;259.9247;319.0305;287.4559;406.183;436.629;317.9562;189.2915;#N/A N/A;261.1815;4.794;751.3398;642.0739;336.4872;637.7952;560.0736;533.2245;387.5952;376.5553;183.5352;287.4559;240.327;383.1995;189.2915;261.1815;#N/A N/A;309.1406;257.0736;285.2562;267.123;316.0837;210.8909;174.0706;164.5009;426.3476
11.10.99;1832.11;682.0291;428.721;257.9377;317.943;291.2303;400.7576;437.3202;316.488;188.5267;#N/A N/A;258.1344;4.793;749.5368;650.2385;335.0736;649.1431;554.9643;534.7646;384.3212;374.9359;182.587;291.2303;237.6075;377.0075;188.5267;258.1344;#N/A N/A;304.4533;257.922;287.2937;268.4677;314.0966;207.6754;174.0828;165.9101;428.721
